"id","car_maker"
232749095,"Audi"
232045425,"Audi"
233447729,"Audi"
233259118,"Audi"
232626727,"Audi"
233214092,"Audi"
233580717,"Audi"
233431263,"Audi"
225973721,"Audi"
232420701,"Audi"
226469064,"Audi"
230716742,"Audi"
232045381,"Audi"
232552319,"Audi"
221694129,"Audi"
233443969,"Audi"
230355907,"Audi"
232714251,"Audi"
229675963,"Audi"
225938840,"Audi"
225781737,"Audi"
225519098,"Audi"
232335076,"Audi"
231695197,"Audi"
231527047,"Audi"
230880979,"Audi"
232626697,"Audi"
231527060,"Audi"
228909823,"Audi"
232338511,"Audi"
229881091,"Audi"
230488510,"Audi"
232338507,"Audi"
230650539,"Audi"
231407784,"Audi"
232626730,"Audi"
231986980,"Audi"
233083353,"Audi"
233447734,"Audi"
232489800,"Audi"
231508798,"Audi"
232749100,"Audi"
231486239,"Audi"
233419236,"Audi"
232712680,"Audi"
232045376,"Audi"
231534537,"Audi"
231534529,"Audi"
231534521,"Audi"
231252556,"Audi"
231102603,"Audi"
230880980,"Audi"
231946204,"Audi"
233259130,"Audi"
229472710,"Audi"
231986897,"Audi"
227239337,"Audi"
225509074,"Audi"
233092236,"Audi"
233251010,"Audi"
233036193,"Audi"
233036189,"Audi"
228792709,"Audi"
230548228,"Audi"
232982307,"Audi"
228159803,"Audi"
229928428,"Audi"
230159709,"Audi"
233447728,"Audi"
228066485,"Audi"
226250185,"Audi"
232749103,"Audi"
233033037,"Audi"
226250248,"Audi"
232132200,"Audi"
232605277,"Audi"
229386389,"Audi"
232749092,"Audi"
231218651,"Audi"
231941474,"Audi"
232712682,"Audi"
229968958,"Audi"
232562669,"Audi"
231400373,"Audi"
228898571,"Audi"
232656237,"Audi"
231039210,"Audi"
231695185,"Audi"
226353936,"Audi"
233443971,"Audi"
228441797,"Audi"
228623161,"Audi"
232982305,"Audi"
233246428,"Audi"
229698783,"Audi"
233443938,"Audi"
229676175,"Audi"
233181253,"Audi"
231252564,"Audi"
229351708,"Audi"
233245979,"Audi"
228503128,"Audi"
233443968,"Audi"
232614152,"Audi"
233347909,"Audi"
233351695,"Audi"
233019738,"Audi"
231506873,"Audi"
232045411,"Audi"
232749106,"Audi"
233308439,"Audi"
227511710,"Audi"
232620736,"Audi"
232874242,"Audi"
231224672,"Audi"
229092750,"Audi"
233362494,"Audi"
233347707,"Audi"
232573762,"Audi"
232028725,"Audi"
233443882,"Audi"
231534536,"Audi"
151869311,"Audi"
232168722,"Audi"
231919276,"Audi"
231695193,"Audi"
231534535,"Audi"
231534534,"Audi"
231534524,"Audi"
230830291,"Audi"
232749138,"Audi"
231592862,"Audi"
231592848,"Audi"
231592845,"Audi"
231592835,"Audi"
230716750,"Audi"
230716745,"Audi"
233329614,"Audi"
231946191,"Audi"
231280157,"Audi"
233382660,"Audi"
229652022,"Audi"
233364870,"Audi"
233329612,"Audi"
227455161,"Audi"
232125792,"Audi"
228006487,"Audi"
232935221,"Audi"
233361986,"Audi"
233078948,"Audi"
232314067,"Audi"
233431602,"Audi"
233557610,"Audi"
233443829,"Audi"
233078258,"Audi"
232496334,"Audi"
231933094,"Audi"
223923939,"Audi"
232540796,"Audi"
233314816,"Audi"
232753831,"Audi"
233329610,"Audi"
232161167,"Audi"
231919284,"Audi"
231110705,"Audi"
233443872,"Audi"
231685090,"Audi"
228441795,"Audi"
233443964,"Audi"
232899176,"Audi"
232249439,"Audi"
232837238,"Audi"
225277922,"Audi"
232712683,"Audi"
232562670,"Audi"
233424232,"Audi"
233253542,"Audi"
222952993,"Audi"
233183427,"Audi"
233256641,"Audi"
229825662,"Audi"
231969358,"Audi"
231370199,"Audi"
232910499,"Audi"
229477828,"Audi"
233443847,"Audi"
230246074,"Audi"
